"no_coverage","country","lon","lat"
"1","ES","-2.669677734375","40.48873690088868"
"1","ES","-2.8674316406249996","40.971603011346815"
"1","ES","-2.098388671875","39.59722272764313"
"1","ES","-1.7687988281249998","40.82212305410941"
"1","ES","-1.6369628906250002","41.483890519982985"
"1","ES","2.142333984375","41.81226662020634"
"1","ES","-3.922119140625","39.25777763417702"
"1","ES","-1.636962890625","41.46742778989264"
"1","ES","-3.109130859375","41.82864147843373"
"1","ES","-4.163818359375","41.81226662020634"
"1","ES","-3.021240234375","41.004774900692084"
"1","ES","-2.581787109375","41.81226662020634"
"1","DZ","3.262939453125","36.55377473943434"
"1","DZ","1.065673828125","36.44779862622782"
"1","ES","-3.878173828125","39.63107625265483"
"1","ES","-3.460693359375","36.80048766056507"
"1","ES","-3.966064453125","42.25291725907091"
"1","ES","-1.9226074218750002","40.755579121875044"
"1","ES","-2.603759765625","39.529466019374105"
"1","ES","-0.7360839843749999","39.9181623282233"
"1","ES","-1.285400390625","40.88860029069413"
"1","ES","2.2302246093750004","42.12267262717617"
"1","ES","3.043212890625","39.308799779710654"
"1","ES","-3.526611328125","38.556756633966"
"1","ES","-2.5378417968750004","40.755579121875044"
"1","ES","-1.7468261718749998","40.82212305410941"
"1","ES","0.648193359375","40.87198723550495"
"1","ES","-4.779052734375","40.55554738253778"
"1","ES","-4.207763671875","37.50100992078313"
"1","ES","-4.141845703125","42.187828486475695"
"1","ES","-2.449951171875","41.08763160293221"
"1","ES","-3.8122558593749996","41.713929550181646"
"1","ES","-4.669189453125","42.024813084004805"
"1","ES","-1.834716796875","40.78885942352399"
"1","DZ","2.845458984375","36.21768662015401"
"1","ES","-0.252685546875","40.05284708300665"
"1","ES","-4.976806640625","41.713929550181646"
"1","ES","-3.526611328125","38.5395721587234"
"1","ES","-1.065673828125","39.732537466608626"
"1","ES","-4.537353515625","39.03625244435651"
"1","ES","-2.296142578125","37.60552770825391"
"1","ES","-3.944091796875","41.45096087858958"
"1","ES","-3.8562011718749996","38.71123202494018"
"1","ES","-1.307373046875","39.833849562084076"
"1","ES","1.6369628906249998","42.22038125954715"
"1","ES","-4.031982421875","38.108627152835105"
"1","ES","-3.438720703125","41.68111703978626"
"1","ES","-3.3508300781249996","38.59111326262075"
"1","ES","-4.581298828125","39.03625244435651"
"1","ES","-5.020751953125","39.189690305241136"
"1","ES","-1.7687988281250002","39.698733625822285"
"1","ES","-3.372802734375","38.384727156179196"
"1","ES","-3.724365234375","40.01920078897608"
"1","ES","-2.691650390625","39.27478914553456"
"1","ES","-1.3513183593750002","39.96870022636765"
"1","ES","-3.4826660156250004","38.556756633966"
